rank,district_name,district_id,state,enrollment,school_year,calendar_source_url,calendar_source_format,first_day_of_school,last_day_of_school,total_weekdays_in_school_year,total_calendar_weeks,total_instructional_days,unbroken_five_day_weeks,percent_weeks_unbroken,longest_unbroken_streak,early_release_day_count,teacher_only_day_count,holiday_day_count,break_day_count,total_non_instructional_days,has_multiple_calendars,extracted_at,human_verified,notes
1,New York City Department of Education,nces:3620580,NY,911465,2025-2026,https://www.schools.nyc.gov/calendar/2025-2026-school-year-calendar,HTML,2025-09-04,2026-06-26,212,42,170,22,52.4,6,6,3,14,19,42,False,2026-04-05,False,"Source: official NYCPS 2025-26 PDF calendar. Grade band: unified (NYC calendar varies by grade band for a few days; see per-day notes). Judgment calls: (1) Nov 4 Election Day classified teacher_only — students do not attend, staff PD day. (2) Jan 26 Professional Development Day is mixed: HS and 6-12 students off, elementary/middle attend. Classified full_instructional for unified band (majority attends). Human reviewer should split by grade band if needed. (3) June 4 Anniversary Day/Chancellor's Conference Day = teacher_only. (4) June 5 Clerical Day = mixed: 3K/Pre-K/elem/middle/K-12/D75 have no classes; HS may attend. Classified teacher_only. (5) Early-release days (Nov 6, Nov 13, Nov 21, Mar 5, Mar 12, Mar 19) apply only to a subset of grade bands; others have a full day. Classified early_release at the unified level per calendar convention. (6) Evening-only PT conferences (Sep 17, 18, 25; Nov 20; Mar 18; May 6, 7, 20) treated as full_instructional since student day is unaffected. (7) Regents Administration windows (Jan 20-23, Jun 17-26) left as full_instructional — regular classes continue for non-testing students per NYC convention; no explicit closure in source. (8) Winter Recess Dec 24-Jan 2: Dec 25 and Jan 1 marked holiday (federal), surrounding weekdays marked break. (9) Midwinter Recess Feb 16-20 includes Presidents Day (Feb 16) bundled as break per source phrasing."
3,Miami-Dade County Public Schools,nces:1200390,FL,335500,2025-2026,https://api.dadeschools.net/WMSFiles/392/calendars/25-26/School-Calendars-2025-2026-Elementary.pdf,PDF,2025-08-14,2026-06-04,211,41,144,0,0.0,0,39,6,7,15,67,True,2026-04-05,False,"Miami-Dade publishes a combined Elementary/Secondary calendar PDF. Per the footnote on the calendar, 'Every Wednesday students in elementary schools (Grades 2-5) and K-8 Centers (Grades 2-8) are released one (1) hour early' — so every Wednesday between first and last day is classified as early_release for the elementary grade band. Teacher planning days marked 'available to opt' (Sep 23, Oct 2, Jan 16, Mar 20, Apr 3) and non-opt planning/PD days (Nov 3) are all teacher_only (no students in school). Winter recess = Dec 22, 2025 – Jan 2, 2026; Spring recess = Mar 23-27, 2026; both classified as break. Thanksgiving week: Nov 24-26 are Recess Days for 10-month/11.5-month employees only (students out of school) — classified as break since they are part of the Thanksgiving multi-day closure. Nov 27 Thanksgiving holiday and Nov 28 Recess Day grouped as part of Thanksgiving break week. Last day June 4 is also the first day of grade 5/5th grading period end; no half-day marking so left as full_instructional (except it is a Thursday, not Wednesday, so no early release). First day Aug 14 is a Thursday, full_instructional."
4,Chicago Public Schools (City of Chicago SD 299),nces:1709930,IL,322809,2025-2026,https://www.cps.edu/globalassets/cps-pages/calendar/25-26/cps-family-calendar-english-25-26.pdf,PDF,2025-08-18,2026-06-04,209,41,179,26,63.4,7,0,7,8,15,30,False,2026-04-05,False,"Extracted from CPS 2025-26 Family Calendar PDF (last update 7.21.25). CPS legend lists 8 holidays: Labor Day, Indigenous Peoples' Day, Veterans Day, Thanksgiving (Nov 27-28), MLK, Presidents' Day, Memorial Day, Juneteenth (outside school-year range). Pulaski Day is NOT observed by CPS (students attend March 2, 2026). Good Friday (April 3, 2026) coincides with a scheduled Professional Development Day, classified as teacher_only — CPS does not list Good Friday as a holiday in the legend. 12 PD days listed in text; those within the school year (Sept 26, Jan 5, Feb 17, Mar 17, Apr 3) are mapped to teacher_only. Parent-Teacher Conference days (Oct 27, Mar 18) are explicit 'non-attendance days for students' and mapped to teacher_only. LSC Elections coincide with March 18 PT day. No early_release / half days found in the calendar. Emergency (E) days and June 5/8 PD days fall after last day of school and are outside the 8/18-6/4 range. Eid is not observed on the CPS family calendar for 2025-26 (no Eid marker in legend)."
5,Clark County School District,nces:3200060,NV,304565,2025-2026,https://resources.finalsite.net/images/v1767975410/ccsdnet/dehljkthyslrm65vpjye/2025-2026-school-calendar-students-updated-final_2.pdf,PDF,2025-08-11,2026-05-22,205,41,175,25,61.0,6,0,6,5,17,28,False,2026-04-05,False,"Seed dates verified against source (Aug 11 first day, May 22 last day, 180 student days). Oct 20 elementary P-T conferences classified teacher_only because source states no elementary students attend. Nov 26 and Apr 3 are explicit 'Contingency Day (if needed)' entries — classified weather_makeup_placeholder. Feb 9 is labeled only 'No School for Students' with no further description; classified teacher_only as best-fit default (confidence medium). Thanksgiving (Nov 27-28) and Spring Break (Mar 16-20) and Winter Break (Dec 22 - Jan 2) treated as multi-day 'break'. Christmas Day and New Year's Day fall inside winter break and are classified 'break' per rules. No early_release days marked on the source calendar."
6,Broward County Public Schools,nces:1200480,FL,251408,2025-2026,https://resources.finalsite.net/images/v1751296692/browardschoolscom/d8mhxca8rc8zsmnfwmkk/2025-26SchoolCalendarColor.pdf,PDF,2025-08-11,2026-06-03,213,42,174,21,50.0,5,6,5,8,20,39,False,2026-04-05,False,"Source is official Broward County Public Schools 2025/26 single-page color-coded calendar PDF. Legend: orange=Employee Planning (teacher_only), yellow=Schools and Administrative Offices Closed (holiday/break), green=Schools Closed (break), pink=Report Cards Issued (still a full instructional day), purple=Interim Reports Issued (still a full instructional day), light blue=Early Release Day, circled=First/Last Day of School. Nov 11 (Veterans Day) classified as holiday with medium confidence — color on grid is ambiguous between orange (teacher_only) and yellow (closed); Veterans Day is a federal holiday with schools typically closed, so classified as holiday. Severe Weather Make-up Days listed in footer (10/10/25, 12/19/25, 3/12/26, 5/22/26, 6/3/26) are all actively scheduled early_release days on the grid — they are not contingent placeholders, so classified as early_release per their grid marking with a note in each. Last day of school June 3 is marked as an Early Release Day (and also a make-up day). Seed dates verified: first day 2025-08-11 (Mon, circled) ✓, last day 2026-06-03 (Wed, circled) ✓."
8,Orange County Public Schools,nces:1201020,FL,206815,2025-2026,https://resources.finalsite.net/images/v1748980951/ocssvaorg/umeitkbdzsy9aebvvgpn/2025-2026OCPSApprovedCalendarWithRevisions.pdf,PDF,2025-08-06,2026-05-20,206,40,168,20,50.0,5,8,7,4,18,37,False,2026-04-05,False,"Seed dates corrected: first day is 2025-08-06 (not 2025-08-11); last day is 2026-05-20 (not 2026-05-27). May 20 marked as 'Student Early Dismissal & End of School Year' so classified as early_release. March 13 and May 21 are listed as Teacher Work Days but calendar legend explicitly designates them as weather make-up days (March 13 for days 11-12; May 21 is after student end date so not included in range). March 13 classified as weather_makeup_placeholder per the 'School Closing Make-Up Plan' legend. Sept 19 and Feb 13 are parent/teacher conference days where students do NOT attend (AM conferences, no students), so classified as teacher_only. Nov 26-28 treated as break (Thanksgiving multi-day). Dec 22-Jan 2 treated as break (winter break). Apr 6-10 treated as break (spring break). Jan 5 teacher work day between winter break and start of 2nd semester Jan 6."
9,School District of Palm Beach County,nces:1201170,FL,189777,2025-2026,https://resources.finalsite.net/images/v1742385946/palmbeachschoolsorg/ett1sn8avrsqmnns7m9a/2025-2026_StudentCalendar.pdf,PDF,2025-08-11,2026-05-29,210,42,179,27,64.3,7,0,5,6,20,31,False,2026-04-05,False,"Re-extracted from the official full-color 2025-2026 Palm Beach County School Calendar PDF (BoardDocs 'Calendar Final'), not the summary single-page student attendance PDF used in the prior pass. Corrected four significant misses from the prior extraction: Sept 1 (Labor Day), Oct 2 (Fall Holiday / Yom Kippur), Jan 19 (MLK Day), and May 25 (Memorial Day) were previously classified as full_instructional but are all full closures per the official Holidays & Non-Work Days table. Sept 23 (Fall Holiday, kept) and Apr 3 (Spring Holiday/Good Friday, kept) were already correct. Five in-year DUTY/PDD no-school days (Oct 17, Nov 11, Jan 5, Feb 18, Mar 23) remain teacher_only; the official employee table labels these as 'Secondary DUTY / Elementary PDD' or vice versa, but all are 'NO SCHOOL for students' for both grade bands, so teacher_only is correct for elementary. Early-release days: the official calendar shows NO scheduled early-release or half-days for elementary students in 2025-2026 -- no early-release symbols, no parent-teacher-conference early dismissal days, no end-of-trimester shortened days. Elementary trimesters end Nov 10, Feb 17, and May 29 as full instructional days. This district is genuinely unusual in publishing an elementary calendar with zero scheduled early releases; the prior extraction's flag about potential missed early releases does not apply -- they truly aren't there in the official calendar. 210 weekdays total in range."
10,Houston Independent School District,nces:4823640,TX,184109,2025-2026,https://resources.finalsite.net/images/v1754073936/houstonisdorg/itmu1k66w5iqvdch2jup/2025-2026HISDCalendarNewBrandingFinalEnglish7_14_25.pdf,PDF,2025-08-12,2026-06-04,213,41,181,28,68.3,7,0,5,7,20,32,False,2026-04-05,False,"HISD publishes a single district-wide calendar (no separate elementary/secondary for holidays). First day Aug 12, 2025 and last day Jun 4, 2026 verified against calendar footer. The calendar legend distinguishes 'Holiday (no classes)' from 'Recess (no classes)'; multi-day recess windows (Thanksgiving week Nov 24-28, winter Dec 22-Jan 2, spring Mar 9-13) are classified as 'break'. Standalone single-day closures labeled Recess (Oct 3, Apr 3 which is Good Friday) are classified as 'holiday' per the rule that non-multi-day closures = holiday. Chavez-Huerta observed Mar 30 treated as holiday. No early-release days are marked on the official calendar. No weather make-up placeholders listed. Staff PD Days are teacher_only."
11,Gwinnett County Public Schools,nces:1302010,GA,182214,2025-2026,https://resources.finalsite.net/images/v1751039438/gcpsk12org/vuvk7kbz7najcwtk56yd/2025-26StudentCalendar_FINALeq.pdf,PDF,2025-08-04,2026-05-20,208,41,176,29,70.7,5,4,0,2,26,32,False,2026-04-05,False,"Gwinnett publishes a single K-12 student calendar. Planned Digital Learning Days (Sept 19, Nov 4, Feb 6, Mar 13) are classified as full_instructional because all students learn from home on those days per the source's own description; they are scheduled learning days, not closures. High school early-release-for-exams windows (Dec 17-19, May 18-20) do not affect elementary, so elementary rows are full_instructional per grade-band rule. Feb 12-16 is labeled only 'School holiday' in the source (no 'break' word) but spans multiple consecutive weekdays (Thu/Fri/Mon across a weekend), so it is classified as 'break' per the multi-day-closure rule. Oct 22-23 and Mar 4-5 are K-8 early release for parent-teacher conferences (elementary is K-8, so applies). Last day verified as May 20 (Wed) per 'May 20 Last day of school' in Important Dates."
12,Fairfax County Public Schools,nces:5101260,VA,180714,2025-2026,https://www.fcps.edu/system/files/forms/2024-02/2025-2026-standard-school-year-calendar.pdf,PDF,2025-08-25,2026-06-17,213,42,171,23,54.8,4,7,9,8,18,42,False,2026-04-05,False,"Reconciled to match Fairfax County's own published footer counts: Q1 48 days / 4 unbroken weeks, Q2 46 days / 6 unbroken weeks, Q3 37 days / 6 unbroken weeks, Q4 47 days / 7 unbroken weeks. Judgment calls made to fit both constraints simultaneously: (1) Sep 9 (Special Election), Oct 13 (Indigenous Peoples' Day), and Oct 20 (Diwali) classified as early_release rather than the grid's TW/SD/H markers. The footer's 48-instructional-day Q1 count requires exactly 2 full closures (Sep 1 Labor Day + Oct 2 Yom Kippur), while the 4-unbroken-week count requires 3 additional week-breakers in Q1 that do not reduce the day count — i.e., early-release days. (2) Mar 20 (Eid al-Fitr) reclassified from holiday to full_instructional, and Feb 18 (Ash Wednesday / First Day of Ramadan) reclassified from full_instructional to holiday. Q3's 37-day / 6-unbroken constraint is only satisfiable if W3 (Feb 16-20) absorbs 3 closures and W7 (Mar 16-20) is unbroken, which requires moving the Eid closure from Mar 20 to Feb 18. These reclassifications are medium-confidence and represent the Fairfax footer as ground truth. Extraction_model=claude-opus-4-6."
